KOD;NAZEV;SPRAVNI_OBEC_KOD;VUSC_KOD;PLATI_OD;PLATI_DO;DATUM_VZNIKU
507;Aö;554499;51;18.06.2018 00:00:00;;01.01.2003 00:00:00
27;Beneöov;529303;27;16.01.2020 00:00:00;;01.01.2003 00:00:00
51;Beroun;531057;27;09.01.2020 00:00:00;;01.01.2003 00:00:00
1295;Blansko;581283;116;16.10.2017 00:00:00;;01.01.2003 00:00:00
434;Blatn·;550850;35;10.12.2019 00:00:00;;01.01.2003 00:00:00
591;Blovice;557587;43;29.03.2017 00:00:00;;01.01.2003 00:00:00
1783;BohumÌn;599051;132;31.03.2016 00:00:00;;01.01.2003 00:00:00
1309;Boskovice;581372;116;24.01.2020 00:00:00;;01.01.2003 00:00:00
213;Brand˝s nad Labem-Star· Boleslav;538094;27;04.03.2019 00:00:00;;01.01.2003 00:00:00
1317;Brno;582786;116;05.11.2019 00:00:00;;01.01.2003 00:00:00
1031;Broumov;573922;86;26.10.2016 00:00:00;;01.01.2003 00:00:00
1716;Brunt·l;597180;132;19.07.2018 00:00:00;;01.01.2003 00:00:00
1627;BuËovice;592943;116;05.12.2018 00:00:00;;01.01.2003 00:00:00
1678;Byst¯ice nad Pernötejnem;595411;108;30.11.2017 00:00:00;;01.01.2003 00:00:00
1520;Byst¯ice pod Host˝nem;588393;141;14.03.2019 00:00:00;;01.01.2003 00:00:00
906;BÌlina;567451;60;27.08.2019 00:00:00;;01.01.2003 00:00:00
1830;BÌlovec;599247;132;01.06.2018 00:00:00;;01.01.2003 00:00:00
1384;B¯eclav;584291;116;16.12.2015 00:00:00;;01.01.2003 00:00:00
515;Cheb;554481;51;29.11.2017 00:00:00;;01.01.2003 00:00:00
752;Chomutov;562971;60;11.11.2019 00:00:00;;01.01.2003 00:00:00
931;ChotÏbo¯;568759;108;07.09.2018 00:00:00;;01.01.2003 00:00:00
981;Chrudim;571164;94;06.09.2017 00:00:00;;01.01.2003 00:00:00
337;DaËice;546127;35;28.01.2020 00:00:00;;01.01.2003 00:00:00
1104;Dobruöka;576271;86;12.03.2019 00:00:00;;01.01.2003 00:00:00
248;Dob¯Ìö;540111;27;11.02.2019 00:00:00;;01.01.2003 00:00:00
485;Domaûlice;553425;43;02.03.2020 00:00:00;;01.01.2003 00:00:00
1201;Dv˘r Kr·lovÈ nad Labem;579203;86;07.12.2018 00:00:00;;01.01.2003 00:00:00
728;DÏËÌn;562335;60;30.04.2019 00:00:00;;01.01.2003 00:00:00
1848;Frenöt·t pod RadhoötÏm;599344;132;13.04.2017 00:00:00;;01.01.2003 00:00:00
1741;Fr˝dek-MÌstek;598003;132;28.02.2020 00:00:00;;01.01.2003 00:00:00
809;Fr˝dlant;564028;78;06.06.2015 00:00:00;;01.01.2003 00:00:00
1759;Fr˝dlant nad OstravicÌ;598143;132;28.02.2020 00:00:00;;01.01.2003 00:00:00
949;HavlÌËk˘v Brod;568414;108;10.01.2019 00:00:00;;01.01.2003 00:00:00
1791;HavÌ¯ov;555088;132;06.06.2015 00:00:00;;01.01.2003 00:00:00
19;HlavnÌ mÏsto Praha;554782;19;06.12.2017 00:00:00;;01.01.2003 00:00:00
990;Hlinsko;571393;94;20.12.2018 00:00:00;;01.01.2003 00:00:00
1929;HluËÌn;507016;132;31.03.2016 00:00:00;;01.01.2003 00:00:00
1473;HodonÌn;586021;116;09.01.2020 00:00:00;;01.01.2003 00:00:00
1538;Holeöov;588458;141;03.06.2016 00:00:00;;01.01.2003 00:00:00
1074;Holice;574988;94;27.09.2018 00:00:00;;01.01.2003 00:00:00
558;HoraûÔovice;556254;43;16.09.2019 00:00:00;;01.01.2003 00:00:00
